time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
-1.680,101.9556,0.622,0.000,-31.129,-13.697,-4.780,34.344
-1.660,101.9562,0.621,0.000,-30.774,-14.053,-4.780,34.166
-1.640,101.9614,0.252,0.000,-30.951,-13.875,-4.528,34.220
-1.620,101.9584,0.679,0.000,-30.951,-13.875,-4.780,34.254
-1.600,101.9625,0.063,0.000,-30.951,-13.875,-4.780,34.254
-1.580,101.9566,0.329,0.000,-31.129,-13.697,-4.780,34.344
-1.560,101.9574,0.201,0.000,-31.129,-13.697,-4.780,34.344
-1.540,101.9603,0.174,0.000,-31.129,-14.053,-4.780,34.487
-1.520,101.9599,-0.061,0.000,-31.129,-13.697,-4.780,34.344
-1.500,101.9584,-0.128,0.000,-31.129,-13.697,-4.780,34.344
-1.480,101.9587,-0.179,0.000,-31.129,-13.697,-4.528,34.309
-1.460,101.9556,0.269,0.000,-30.951,-13.875,-4.780,34.254
-1.440,101.9593,-0.158,0.000,-30.951,-13.875,-4.780,34.254
-1.420,101.9594,0.078,0.000,-31.129,-14.053,-4.780,34.487
-1.400,101.9588,-0.195,0.000,-31.129,-13.697,-4.780,34.344
-1.380,101.9608,-0.523,0.000,-31.129,-13.697,-4.780,34.344
-1.360,101.9584,-0.718,0.000,-30.951,-13.519,-4.780,34.112
-1.340,101.9566,-0.293,0.000,-30.774,-14.053,-4.780,34.166
-1.320,101.9566,0.101,0.000,-30.774,-14.053,-4.528,34.132
-1.300,101.9556,0.767,0.000,-31.129,-13.697,-4.780,34.344
-1.280,101.9618,0.221,0.000,-31.129,-13.697,-4.780,34.344
-1.260,101.9588,0.047,0.000,-31.129,-13.697,-4.780,34.344
-1.240,101.9594,0.364,0.000,-31.129,-13.697,-4.780,34.344
-1.220,101.9576,0.851,0.000,-31.129,-14.053,-4.528,34.453
-1.200,101.9537,1.129,0.000,-31.485,-14.053,-4.780,34.808
-1.180,101.9550,1.405,0.000,-31.129,-13.697,-4.780,34.344
-1.160,101.9531,1.871,0.000,-31.129,-14.053,-4.780,34.487
-1.140,101.9589,1.498,0.000,-31.129,-13.697,-4.780,34.344
-1.120,101.9563,1.382,0.000,-31.129,-14.053,-4.780,34.487
-1.100,101.9589,0.900,0.000,-30.951,-13.875,-4.780,34.254
-1.080,101.9614,0.186,0.000,-30.951,-13.875,-4.780,34.254
-1.060,101.9609,0.271,0.000,-31.129,-13.697,-4.780,34.344
-1.040,101.9603,0.022,0.000,-30.951,-13.875,-4.780,34.254
-1.020,101.9587,0.433,0.000,-31.485,-13.697,-4.780,34.666
-1.000,101.9578,0.383,0.000,-31.129,-14.053,-4.780,34.487
-0.980,101.9537,0.567,0.000,-30.951,-13.875,-4.780,34.254
-0.960,101.9541,0.665,0.000,-31.129,-13.697,-4.780,34.344
-0.940,101.9540,1.177,0.000,-30.951,-13.875,-4.780,34.254
-0.920,101.9536,1.564,0.000,-31.129,-14.053,-4.780,34.487
-0.900,101.9546,1.592,0.000,-30.951,-13.875,-4.780,34.254
-0.880,101.9604,0.790,0.000,-31.307,-13.875,-4.780,34.576
-0.860,101.9577,0.556,0.000,-31.485,-14.053,-4.780,34.808
-0.840,101.9577,0.262,0.000,-30.951,-13.875,-4.780,34.254
-0.820,101.9573,0.493,0.000,-31.307,-13.875,-4.780,34.576
-0.800,101.9568,0.102,0.000,-30.951,-13.875,-4.780,34.254
-0.780,101.9567,0.185,0.000,-31.307,-13.875,-4.780,34.576
-0.760,101.9613,-0.271,0.000,-31.485,-14.053,-4.780,34.808
-0.740,101.9548,0.284,0.000,-31.307,-14.231,-4.780,34.720
-0.720,101.9613,-0.363,0.000,-32.019,-13.875,-4.780,35.221
-0.700,101.9599,-0.400,0.000,-31.129,-14.408,-4.780,34.633
-0.680,101.9629,-0.715,0.000,-30.774,-14.053,-4.780,34.166
-0.660,101.9563,-0.371,0.000,-31.485,-14.764,-4.780,35.102
-0.640,101.9604,-0.543,0.000,-32.908,-14.764,-4.780,36.384
-0.620,101.9571,-0.178,0.000,-31.307,-13.519,-4.780,34.435
-0.600,101.9618,-0.513,0.000,-27.750,-12.452,0.503,30.419
-0.580,101.9552,-0.191,0.000,0.534,-0.534,1.761,1.916
-0.560,101.9609,-0.301,0.000,-109.575,-41.624,-31.445,121.359
-0.540,101.9556,0.270,0.000,-24.014,-5.870,4.528,25.132
-0.520,101.9578,0.176,0.000,-44.648,-17.255,-3.522,47.996
-0.500,101.9593,-0.005,0.000,-29.350,-12.274,1.258,31.838
-0.480,101.9604,-0.481,0.000,-26.149,-11.918,-3.773,28.983
-0.460,101.9571,-0.103,0.000,-33.086,-15.298,-5.283,36.832
-0.440,101.9566,0.165,0.000,-27.927,-13.341,-4.277,31.244
-0.420,101.9552,0.286,0.000,-30.062,-11.918,-4.277,32.620
-0.400,101.9613,-0.041,0.000,-32.908,-12.985,-4.277,35.635
-0.380,101.9552,0.461,0.000,-30.596,-12.807,-4.780,33.511
-0.360,101.9562,0.553,0.000,-31.129,-13.697,-3.270,34.166
-0.340,101.9584,0.434,0.000,-32.019,-11.384,-2.516,34.075
-0.320,101.9576,0.144,0.000,-30.774,-11.918,-1.258,33.025
-0.300,101.9573,-0.060,0.000,-30.951,-14.586,-13.333,36.722
-0.280,101.9593,-0.425,0.000,-30.062,-14.408,-2.767,33.451
-0.260,101.9603,-0.812,0.000,-32.552,-12.985,-1.509,35.079
-0.240,101.9578,-0.841,0.000,-33.086,-11.029,-2.767,34.985
-0.220,101.9551,-0.577,0.000,-30.951,-13.519,-4.528,34.077
-0.200,101.9563,-0.471,0.000,-31.663,-13.875,-4.780,34.898
-0.180,101.9598,-0.737,0.000,-31.485,-12.274,-3.522,33.976
-0.160,101.9577,-0.719,0.000,-31.841,-11.918,-3.522,34.180
-0.140,101.9572,-0.641,0.000,-31.485,-12.630,-3.773,34.133
-0.120,101.9629,-1.098,0.000,-31.663,-14.231,-4.277,34.976
-0.100,101.9589,-0.883,0.000,-31.485,-12.630,-3.522,34.106
-0.080,101.9542,0.159,0.000,-31.841,-11.918,-2.516,34.091
-0.060,101.9583,0.306,0.000,-31.129,-13.341,-4.780,34.203
-0.040,101.9582,0.610,0.000,-31.485,-14.053,-3.522,34.658
-0.020,101.9594,0.548,0.000,-31.841,-12.630,-4.025,34.490
0.000,101.9577,0.720,0.000,-31.663,-12.096,-2.264,33.970
0.020,101.9582,0.558,0.000,-31.307,-13.519,-4.025,34.338
0.040,101.9587,0.513,0.000,-31.485,-13.697,-4.780,34.666
0.060,101.9594,0.605,0.000,-32.197,-12.630,-2.264,34.659
0.080,101.9609,0.361,0.000,-61.547,-24.903,-9.811,67.115
0.100,101.9600,-7.257,9.812,-461.781,-244.765,13.836,490.622
0.120,101.9973,-9.146,16.034,-306.490,-153.512,-18.616,311.091
0.140,101.9840,-9.733,25.588,-448.084,-243.164,-7.547,477.667
0.160,101.9621,-7.712,34.750,-420.690,-250.635,25.156,458.137
0.180,101.9589,-5.601,44.337,-461.425,-213.458,-56.602,479.347
0.200,101.9562,-3.327,53.367,-423.714,-230.179,-37.986,451.493
0.220,101.9521,-1.065,62.083,-407.527,-228.222,29.181,435.790
0.240,101.9507,0.670,71.161,-433.142,-209.722,-68.425,453.883
0.260,101.9513,1.982,80.778,-459.646,-225.198,35.722,480.893
0.280,101.9421,4.109,90.443,-443.992,-261.486,12.578,483.224
0.300,101.9355,5.983,99.938,-443.459,-245.654,1.509,474.756
0.320,101.9333,7.971,109.533,-449.862,-243.876,-14.591,479.722
0.340,101.9371,8.314,119.824,-491.665,-236.938,-32.955,514.572
0.360,101.9274,9.678,129.960,-474.410,-254.193,-29.181,506.809
0.380,101.9218,11.151,139.462,-443.281,-246.544,-6.289,475.068
0.400,101.9202,12.436,149.234,-460.357,-241.207,-33.961,488.629
0.420,101.9184,12.989,159.208,-438.834,-252.770,-159.239,498.672
0.440,101.9152,13.387,168.669,-446.483,-233.381,-38.489,473.067
0.460,101.9163,13.587,178.160,-448.973,-232.313,-35.722,474.576
0.480,101.9178,13.173,187.790,-455.910,-232.491,-44.023,481.458
0.500,101.9168,13.024,197.588,-466.939,-223.597,-67.670,489.918
0.520,101.9142,13.082,207.663,-474.410,-237.116,-77.230,503.760
0.540,101.9100,13.014,217.590,-471.030,-227.688,-75.217,496.354
0.560,101.9082,13.406,226.965,-440.079,-226.621,-76.978,468.751
0.580,101.9077,13.698,237.041,-473.876,-244.053,-56.098,503.774
